Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-02,1458.34,1473.13,1450.83,1469.25,1596994445
2000-01-09,1469.25,1478,1377.68,1441.47,2968777779
2000-01-16,1441.47,1473,1427.08,1465.15,2872055555
2000-01-23,1465.15,1465.71,1438.54,1441.36,2475000000
2000-01-30,1441.36,1454.09,1356.2,1360.16,3073388889
2000-02-06,1360.16,1435.91,1350.14,1424.37,2891666666
2000-02-13,1424.37,1444.55,1378.89,1387.12,2833777778
2000-02-20,1387.12,1407.72,1345.32,1346.09,2841833334
2000-02-27,1346.09,1370.11,1329.15,1333.36,2363277778
2000-03-05,1333.36,1410.88,1325.07,1409.17,3252111112
2000-03-12,1409.17,1413.46,1346.62,1395.07,3226611112
2000-03-19,1395.07,1477.33,1356.99,1464.47,3439055556
2000-03-26,1464.47,1552.87,1446.06,1527.46,2884555557
2000-04-02,1527.46,1534.63,1474.63,1498.58,2968222222
2000-04-09,1498.58,1526.45,1416.41,1516.35,3081699999
2000-04-16,1516.35,1527.19,1339.4,1356.56,2951500000
2000-04-23,1356.56,1447.69,1346.5,1434.54,2339833333
2000-04-30,1434.54,1482.94,1407.13,1452.43,2797222222
2000-05-07,1452.43,1481.51,1398.36,1432.63,2611499999
2000-05-14,1432.63,1432.63,1375.14,1420.96,2501333334
2000-05-21,1420.96,1470.4,1401.74,1406.95,2384555555
2000-05-28,1406.95,1411.65,1361.09,1378.02,2554611111
2000-06-04,1378.02,1483.23,1378.02,1477.26,2181777778
2000-06-11,1477.26,1477.28,1454.74,1456.95,2379777778
2000-06-18,1456.95,1483.62,1442.38,1464.46,2723277778
2000-06-25,1464.46,1488.93,1438.31,1441.48,2685055557
2000-07-02,1441.48,1467.63,1434.63,1454.6,3109555556
2000-07-09,1454.6,1484.12,1439.56,1478.9,1861222223
2000-07-16,1478.9,1509.99,1470.48,1509.98,2670999999
2000-07-23,1509.98,1517.32,1477.91,1480.19,2642555554
2000-07-30,1480.19,1485.88,1413.89,1419.89,2901055556
2000-08-06,1419.89,1462.93,1418.71,1462.93,2743000000
2000-08-13,1462.93,1490.33,1453.06,1471.84,2598500001
2000-08-20,1471.84,1499.47,1468.56,1491.72,2418499999
2000-08-27,1491.72,1513.47,1489.52,1506.45,2191166667
2000-09-03,1506.45,1530.09,1500.09,1520.77,2317722223
2000-09-10,1520.77,1520.77,1489.88,1494.5,2100055555
2000-09-17,1494.5,1506.76,1460.22,1465.81,2911777778
2000-09-24,1465.81,1467.77,1421.88,1448.72,2990166666
2000-10-01,1448.72,1461.69,1419.44,1436.51,3148333334
2000-10-08,1436.52,1454.82,1397.06,1408.99,3134944445
2000-10-15,1408.99,1409.69,1327.08,1374.17,3200333332
2000-10-22,1374.17,1408.47,1305.79,1396.93,3379944445
2000-10-29,1396.93,1415.64,1337.81,1379.58,3283944445
2000-11-05,1379.58,1433.4,1376.86,1426.69,3291722222
2000-11-12,1428.76,1438.46,1365.97,1365.98,2663666667
2000-11-19,1365.98,1395.96,1328.62,1367.72,2967555557
2000-11-26,1367.72,1367.72,1321.89,1341.77,1922761111
2000-12-03,1341.77,1362.5,1294.9,1315.23,2643405555
2000-12-10,1315.18,1380.33,1310.23,1369.89,3271611112
2000-12-17,1369.89,1389.05,1305.38,1312.15,3390722222
2000-12-24,1312.15,1346.44,1254.07,1305.95,3596333334
2000-12-31,1305.97,1340.1,1301.64,1320.28,2194444446
2001-01-07,1320.28,1350.24,1274.62,1298.35,3651055555
2001-01-14,1298.35,1333.21,1276.29,1318.55,3494722222
2001-01-21,1318.32,1354.55,1313.33,1342.54,3004222222
2001-01-28,1342.54,1369.75,1333.84,1354.95,3367555556
2001-02-04,1354.92,1383.37,1348.72,1349.47,3147444445
2001-02-11,1349.47,1363.55,1309.98,1314.76,3007555556
2001-02-18,1314.76,1336.62,1293.18,1301.53,3153055555
2001-02-25,1301.53,1307.16,1215.44,1245.86,2732166667
2001-03-04,1245.86,1272.76,1214.5,1234.18,3366166666
2001-03-11,1234.18,1267.42,1228.42,1233.42,2974000000
2001-03-18,1233.42,1233.42,1148.64,1150.53,3772422222
2001-03-25,1150.53,1180.56,1081.19,1139.83,3776250000
2001-04-01,1139.83,1183.35,1136.26,1160.33,3487166667
2001-04-08,1160.33,1169.51,1091.99,1128.43,3722994445
2001-04-15,1128.43,1183.51,1126.38,1183.5,2669277777
2001-04-22,1183.5,1253.71,1167.38,1242.98,3759944444
2001-04-29,1242.98,1253.07,1207.38,1253.05,3260666667
2001-05-06,1253.05,1272.93,1232,1266.61,3339055557
2001-05-13,1266.61,1270,1240.79,1245.67,2805888889
2001-05-20,1245.67,1296.48,1241.02,1291.96,3234277777
2001-05-27,1291.96,1315.93,1276.42,1277.89,3054944444
2001-06-03,1277.89,1278.42,1245.96,1260.67,2459000000
2001-06-10,1260.67,1286.62,1256.36,1264.96,2683888887
2001-06-17,1264.96,1264.96,1203.03,1214.36,3304805556
2001-06-24,1214.36,1240.24,1207.71,1225.35,3545900001
2001-07-01,1225.35,1237.29,1204.64,1224.38,3650422223
2001-07-08,1224.42,1239.78,1188.74,1190.59,2078894445
2001-07-15,1190.59,1218.54,1168.46,1215.68,3449611110
2001-07-22,1215.68,1225.04,1196.14,1210.85,3393666667
2001-07-29,1210.85,1215.22,1165.54,1205.82,3164166667
2001-08-05,1205.82,1226.27,1200.41,1214.35,3076000000
2001-08-12,1214.35,1214.35,1169.55,1190.16,2785222221
2001-08-19,1190.16,1198.79,1156.07,1161.97,2720833333
2001-08-26,1161.97,1185.15,1153.34,1184.93,2821833334
2001-09-02,1184.93,1186.85,1124.87,1133.58,2705833334
2001-09-09,1133.58,1155.4,1082.12,1085.78,2970444445
2001-09-16,1085.78,1096.94,1073.15,1092.54,709222222
2001-09-23,1092.54,1092.54,944.75,965.8,5791050000
2001-09-30,965.8,1040.94,965.8,1040.94,4432222222
2001-10-07,1040.94,1084.12,1026.76,1071.38,3903777778
2001-10-14,1071.37,1099.16,1052.76,1091.65,3641766667
2001-10-21,1091.65,1107.12,1057.24,1073.48,3469555556
2001-10-28,1073.48,1110.61,1065.64,1104.61,3537833333
2001-11-04,1104.61,1104.61,1053.61,1087.2,3441833334
2001-11-11,1087.2,1135.75,1087.2,1120.31,3692388890
2001-11-18,1120.31,1148.28,1098.32,1138.65,3665000001
2001-11-25,1138.65,1152.45,1129.78,1150.34,2270333333
2001-12-02,1150.34,1163.38,1125.51,1139.45,3644888889
2001-12-09,1139.45,1173.62,1125.78,1158.31,3901555555
2001-12-16,1158.31,1158.31,1114.53,1123.09,3807722223
2001-12-23,1123.09,1152.44,1122.66,1144.89,4046555555
2001-12-30,1144.89,1164.64,1144.62,1161.02,1680261111
2002-01-06,1161.02,1176.55,1136.23,1172.51,2792500001
2002-01-13,1172.51,1176.97,1145.45,1145.6,3627777778
2002-01-20,1145.6,1148.81,1124.45,1127.58,3816222222
2002-01-27,1127.58,1139.5,1117.43,1133.28,3160388890
2002-02-03,1133.28,1138.63,1081.66,1122.2,4412555556
2002-02-10,1122.2,1122.2,1077.78,1096.22,4275111111
2002-02-17,1096.22,1124.72,1094.68,1104.18,3389555555
2002-02-24,1104.18,1104.18,1074.36,1089.84,3011888890
2002-03-03,1089.84,1131.79,1089.84,1131.78,3843944444
2002-03-10,1131.78,1172.76,1130.93,1164.31,4230166666
2002-03-17,1164.31,1173.03,1151.01,1166.16,3650722222
2002-03-24,1166.16,1173.94,1139.48,1148.7,3506611110
